Feature,P-Value,Bonferroni Corrected P-Value
GO:0000028,0.234375,1.0
GO:0000049,0.3408513677596876,1.0
GO:0000103,1.0,1.0
GO:0000160,1.0,1.0
GO:0000166,1.0,1.0
GO:0000271,0.234375,1.0
GO:0000287,0.552823934691987,1.0
GO:0000303,0.234375,1.0
GO:0000715,1.0,1.0
GO:0000917,1.0,1.0
GO:0000935,1.0,1.0
GO:0000976,1.0,1.0
GO:0000987,0.04116165875176438,1.0
GO:0001000,0.234375,1.0
GO:0001072,1.0,1.0
GO:0001073,0.234375,1.0
GO:0001108,0.234375,1.0
GO:0001216,1.0,1.0
GO:0001217,1.0,1.0
GO:0001406,1.0,1.0
GO:0001407,1.0,1.0
GO:0001510,0.234375,1.0
GO:0001514,1.0,1.0
GO:0001761,1.0,1.0
GO:0001762,1.0,1.0
GO:0002099,1.0,1.0
GO:0002181,1.0,1.0
GO:0002943,1.0,1.0
GO:0003333,0.3408513677596876,1.0
GO:0003676,0.3408513677596876,1.0
GO:0003677,0.1714852810856073,1.0
GO:0003680,1.0,1.0
GO:0003681,1.0,1.0
GO:0003690,1.0,1.0
GO:0003697,0.575801360972636,1.0
GO:0003700,0.006104644911282511,1.0
GO:0003723,0.4663672169865647,1.0
GO:0003727,1.0,1.0
GO:0003729,1.0,1.0
GO:0003730,1.0,1.0
GO:0003735,1.0,1.0
GO:0003743,1.0,1.0
GO:0003746,0.5938971362486047,1.0
GO:0003755,0.05422794117647059,1.0
GO:0003756,1.0,1.0
GO:0003824,0.6677347265770894,1.0
GO:0003842,0.234375,1.0
GO:0003857,1.0,1.0
GO:0003867,1.0,1.0
GO:0003908,1.0,1.0
GO:0003911,0.234375,1.0
GO:0003916,0.5938971362486047,1.0
GO:0003917,1.0,1.0
GO:0003918,1.0,1.0
GO:0003924,0.6850819095268802,1.0
GO:0003954,1.0,1.0
GO:0003957,1.0,1.0
GO:0003979,0.234375,1.0
GO:0003987,1.0,1.0
GO:0003992,1.0,1.0
GO:0003994,1.0,1.0
GO:0004015,1.0,1.0
GO:0004022,1.0,1.0
GO:0004025,1.0,1.0
GO:0004029,0.35982397581345005,1.0
GO:0004030,0.1359788538119751,1.0
GO:0004067,1.0,1.0
GO:0004088,1.0,1.0
GO:0004096,1.0,1.0
GO:0004139,1.0,1.0
GO:0004148,1.0,1.0
GO:0004152,1.0,1.0
GO:0004161,0.234375,1.0
GO:0004165,1.0,1.0
GO:0004180,0.234375,1.0
GO:0004222,0.05422794117647059,1.0
GO:0004300,0.552823934691987,1.0
GO:0004333,1.0,1.0
GO:0004337,0.234375,1.0
GO:0004347,0.234375,1.0
GO:0004351,1.0,1.0
GO:0004353,0.234375,1.0
GO:0004354,0.234375,1.0
GO:0004356,1.0,1.0
GO:0004359,1.0,1.0
GO:0004362,1.0,1.0
GO:0004368,1.0,1.0
GO:0004518,1.0,1.0
GO:0004601,1.0,1.0
GO:0004617,0.234375,1.0
GO:0004657,0.234375,1.0
GO:0004659,0.05422794117647059,1.0
GO:0004721,0.05422794117647059,1.0
GO:0004722,0.05422794117647059,1.0
GO:0004748,1.0,1.0
GO:0004777,0.0899765234646104,1.0
GO:0004781,1.0,1.0
GO:0004812,1.0,1.0
GO:0004818,1.0,1.0
GO:0004888,0.5938971362486047,1.0
GO:0005034,1.0,1.0
GO:0005275,1.0,1.0
GO:0005291,1.0,1.0
GO:0005297,1.0,1.0
GO:0005302,1.0,1.0
GO:0005304,1.0,1.0
GO:0005315,1.0,1.0
GO:0005354,1.0,1.0
GO:0005355,1.0,1.0
GO:0005452,1.0,1.0
GO:0005506,1.0,1.0
GO:0005509,1.0,1.0
GO:0005515,0.014573090790598667,1.0
GO:0005524,6.453053646299171e-06,0.005536720028524689
GO:0005525,0.6850819095268802,1.0
GO:0005528,0.234375,1.0
GO:0005667,1.0,1.0
GO:0005694,0.5938971362486047,1.0
GO:0005737,0.06693827793409056,1.0
GO:0005829,0.04193665919419498,1.0
GO:0005840,0.41452205882352944,1.0
GO:0005886,6.701729690644146e-07,0.0005750084074572677
GO:0005951,1.0,1.0
GO:0005971,1.0,1.0
GO:0005975,1.0,1.0
GO:0006006,1.0,1.0
GO:0006007,1.0,1.0
GO:0006065,0.234375,1.0
GO:0006066,1.0,1.0
GO:0006071,1.0,1.0
GO:0006072,1.0,1.0
GO:0006082,0.05422794117647059,1.0
GO:0006083,0.05422794117647059,1.0
GO:0006085,0.41452205882352944,1.0
GO:0006091,1.0,1.0
GO:0006097,0.41452205882352944,1.0
GO:0006099,1.0,1.0
GO:0006113,1.0,1.0
GO:0006115,1.0,1.0
GO:0006116,1.0,1.0
GO:0006207,1.0,1.0
GO:0006221,1.0,1.0
GO:0006222,1.0,1.0
GO:0006259,0.552823934691987,1.0
GO:0006260,0.13791830708661415,1.0
GO:0006261,1.0,1.0
GO:0006265,0.5938971362486047,1.0
GO:0006266,0.234375,1.0
GO:0006270,1.0,1.0
GO:0006281,0.6897984247067768,1.0
GO:0006289,1.0,1.0
GO:0006294,1.0,1.0
GO:0006301,1.0,1.0
GO:0006307,1.0,1.0
GO:0006310,1.0,1.0
GO:0006351,0.4604962480983252,1.0
GO:0006352,0.234375,1.0
GO:0006354,0.012382758221398794,1.0
GO:0006355,0.02590050222958014,1.0
GO:0006364,0.012382758221398794,1.0
GO:0006396,0.41452205882352944,1.0
GO:0006412,0.4604962480983252,1.0
GO:0006413,1.0,1.0
GO:0006414,0.575801360972636,1.0
GO:0006415,0.234375,1.0
GO:0006417,0.575801360972636,1.0
GO:0006418,1.0,1.0
GO:0006424,1.0,1.0
GO:0006449,0.234375,1.0
GO:0006457,0.3339913034477119,1.0
GO:0006465,0.234375,1.0
GO:0006508,0.05422794117647059,1.0
GO:0006518,0.234375,1.0
GO:0006520,0.234375,1.0
GO:0006525,1.0,1.0
GO:0006526,1.0,1.0
GO:0006527,0.3339913034477119,1.0
GO:0006528,1.0,1.0
GO:0006530,1.0,1.0
GO:0006536,0.41452205882352944,1.0
GO:0006537,0.234375,1.0
GO:0006538,1.0,1.0
GO:0006541,1.0,1.0
GO:0006542,1.0,1.0
GO:0006559,0.41452205882352944,1.0
GO:0006560,0.234375,1.0
GO:0006561,0.234375,1.0
GO:0006562,0.234375,1.0
GO:0006564,0.234375,1.0
GO:0006567,0.234375,1.0
GO:0006593,1.0,1.0
GO:0006598,1.0,1.0
GO:0006631,1.0,1.0
GO:0006635,1.0,1.0
GO:0006739,1.0,1.0
GO:0006744,0.234375,1.0
GO:0006749,1.0,1.0
GO:0006779,1.0,1.0
GO:0006782,1.0,1.0
GO:0006788,1.0,1.0
GO:0006790,1.0,1.0
GO:0006796,1.0,1.0
GO:0006813,1.0,1.0
GO:0006817,1.0,1.0
GO:0006826,1.0,1.0
GO:0006829,1.0,1.0
GO:0006865,0.17566254519666236,1.0
GO:0006868,1.0,1.0
GO:0006869,1.0,1.0
GO:0006879,1.0,1.0
GO:0006885,1.0,1.0
GO:0006935,0.3408513677596876,1.0
GO:0006950,1.0,1.0
GO:0006970,1.0,1.0
GO:0006972,1.0,1.0
GO:0006974,0.5316230869720029,1.0
GO:0006979,1.0,1.0
GO:0006995,1.0,1.0
GO:0007059,1.0,1.0
GO:0007062,1.0,1.0
GO:0007165,0.5938971362486047,1.0
GO:0007172,1.0,1.0
GO:0007231,1.0,1.0
GO:0008033,0.575801360972636,1.0
GO:0008094,1.0,1.0
GO:0008113,1.0,1.0
GO:0008137,1.0,1.0
GO:0008138,0.05422794117647059,1.0
GO:0008143,1.0,1.0
GO:0008152,0.14307441929366954,1.0
GO:0008156,1.0,1.0
GO:0008168,0.3339913034477119,1.0
GO:0008198,1.0,1.0
GO:0008199,1.0,1.0
GO:0008233,0.234375,1.0
GO:0008237,0.05422794117647059,1.0
GO:0008270,0.4413742817812721,1.0
GO:0008272,1.0,1.0
GO:0008289,1.0,1.0
GO:0008299,0.05422794117647059,1.0
GO:0008301,1.0,1.0
GO:0008360,0.05422794117647059,1.0
GO:0008430,1.0,1.0
GO:0008483,0.20479946588036768,1.0
GO:0008494,0.234375,1.0
GO:0008559,1.0,1.0
GO:0008615,1.0,1.0
GO:0008616,0.41452205882352944,1.0
GO:0008643,0.575801360972636,1.0
GO:0008649,0.234375,1.0
GO:0008692,1.0,1.0
GO:0008697,0.234375,1.0
GO:0008716,0.05422794117647059,1.0
GO:0008720,0.234375,1.0
GO:0008746,1.0,1.0
GO:0008747,1.0,1.0
GO:0008774,1.0,1.0
GO:0008776,0.05422794117647059,1.0
GO:0008802,0.41452205882352944,1.0
GO:0008803,0.05422794117647059,1.0
GO:0008840,1.0,1.0
GO:0008861,1.0,1.0
GO:0008863,1.0,1.0
GO:0008866,0.234375,1.0
GO:0008901,1.0,1.0
GO:0008911,0.41452205882352944,1.0
GO:0008926,0.234375,1.0
GO:0008940,1.0,1.0
GO:0008957,0.41452205882352944,1.0
GO:0008980,0.234375,1.0
GO:0008982,0.575801360972636,1.0
GO:0008988,0.234375,1.0
GO:0009013,0.23467495542146394,1.0
GO:0009016,1.0,1.0
GO:0009033,1.0,1.0
GO:0009055,0.30471180253421853,1.0
GO:0009060,0.552823934691987,1.0
GO:0009061,0.20441420992973372,1.0
GO:0009062,1.0,1.0
GO:0009085,1.0,1.0
GO:0009089,1.0,1.0
GO:0009102,1.0,1.0
GO:0009103,0.234375,1.0
GO:0009185,1.0,1.0
GO:0009220,1.0,1.0
GO:0009242,0.234375,1.0
GO:0009246,0.234375,1.0
GO:0009252,0.05422794117647059,1.0
GO:0009254,1.0,1.0
GO:0009263,1.0,1.0
GO:0009264,1.0,1.0
GO:0009265,1.0,1.0
GO:0009266,0.234375,1.0
GO:0009267,0.41452205882352944,1.0
GO:0009268,1.0,1.0
GO:0009276,1.0,1.0
GO:0009295,0.3408513677596876,1.0
GO:0009314,0.3408513677596876,1.0
GO:0009325,1.0,1.0
GO:0009326,1.0,1.0
GO:0009330,1.0,1.0
GO:0009331,1.0,1.0
GO:0009336,1.0,1.0
GO:0009344,1.0,1.0
GO:0009372,1.0,1.0
GO:0009375,1.0,1.0
GO:0009380,1.0,1.0
GO:0009381,1.0,1.0
GO:0009383,0.234375,1.0
GO:0009389,1.0,1.0
GO:0009390,1.0,1.0
GO:0009401,0.3408513677596876,1.0
GO:0009408,0.552823934691987,1.0
GO:0009409,0.575801360972636,1.0
GO:0009410,1.0,1.0
GO:0009411,0.234375,1.0
GO:0009432,1.0,1.0
GO:0009435,0.41452205882352944,1.0
GO:0009437,1.0,1.0
GO:0009447,0.6677347265770894,1.0
GO:0009448,1.0,1.0
GO:0009450,0.4413742817812721,1.0
GO:0009593,1.0,1.0
GO:0009651,0.41452205882352944,1.0
GO:0009758,1.0,1.0
GO:0009898,0.05422794117647059,1.0
GO:0010043,1.0,1.0
GO:0010124,0.41452205882352944,1.0
GO:0010133,0.234375,1.0
GO:0010165,0.13791830708661415,1.0
GO:0010181,0.5938971362486047,1.0
GO:0010438,1.0,1.0
GO:0010468,0.3408513677596876,1.0
GO:0015031,0.3408513677596876,1.0
GO:0015035,1.0,1.0
GO:0015091,1.0,1.0
GO:0015098,1.0,1.0
GO:0015112,1.0,1.0
GO:0015113,1.0,1.0
GO:0015144,1.0,1.0
GO:0015148,1.0,1.0
GO:0015169,1.0,1.0
GO:0015171,1.0,1.0
GO:0015180,1.0,1.0
GO:0015185,1.0,1.0
GO:0015187,1.0,1.0
GO:0015188,1.0,1.0
GO:0015189,1.0,1.0
GO:0015190,1.0,1.0
GO:0015191,1.0,1.0
GO:0015192,1.0,1.0
GO:0015196,1.0,1.0
GO:0015209,0.234375,1.0
GO:0015232,1.0,1.0
GO:0015234,1.0,1.0
GO:0015291,0.41452205882352944,1.0
GO:0015293,1.0,1.0
GO:0015295,0.234375,1.0
GO:0015315,1.0,1.0
GO:0015407,1.0,1.0
GO:0015411,1.0,1.0
GO:0015412,1.0,1.0
GO:0015413,1.0,1.0
GO:0015415,1.0,1.0
GO:0015416,1.0,1.0
GO:0015417,1.0,1.0
GO:0015419,1.0,1.0
GO:0015420,1.0,1.0
GO:0015423,1.0,1.0
GO:0015424,0.575801360972636,1.0
GO:0015426,1.0,1.0
GO:0015430,1.0,1.0
GO:0015437,1.0,1.0
GO:0015439,1.0,1.0
GO:0015489,1.0,1.0
GO:0015526,1.0,1.0
GO:0015527,1.0,1.0
GO:0015562,0.234375,1.0
GO:0015565,0.234375,1.0
GO:0015572,1.0,1.0
GO:0015591,1.0,1.0
GO:0015592,1.0,1.0
GO:0015594,1.0,1.0
GO:0015599,1.0,1.0
GO:0015611,1.0,1.0
GO:0015612,1.0,1.0
GO:0015614,1.0,1.0
GO:0015620,1.0,1.0
GO:0015625,1.0,1.0
GO:0015633,1.0,1.0
GO:0015658,1.0,1.0
GO:0015675,1.0,1.0
GO:0015685,1.0,1.0
GO:0015689,1.0,1.0
GO:0015706,1.0,1.0
GO:0015707,1.0,1.0
GO:0015709,1.0,1.0
GO:0015712,1.0,1.0
GO:0015716,1.0,1.0
GO:0015734,1.0,1.0
GO:0015752,1.0,1.0
GO:0015753,1.0,1.0
GO:0015757,1.0,1.0
GO:0015760,1.0,1.0
GO:0015764,1.0,1.0
GO:0015765,1.0,1.0
GO:0015768,1.0,1.0
GO:0015793,1.0,1.0
GO:0015794,1.0,1.0
GO:0015797,1.0,1.0
GO:0015803,1.0,1.0
GO:0015807,1.0,1.0
GO:0015808,1.0,1.0
GO:0015812,1.0,1.0
GO:0015816,1.0,1.0
GO:0015823,1.0,1.0
GO:0015826,0.234375,1.0
GO:0015827,1.0,1.0
GO:0015828,1.0,1.0
GO:0015833,0.12293145829611712,1.0
GO:0015837,1.0,1.0
GO:0015846,1.0,1.0
GO:0015847,0.575801360972636,1.0
GO:0015856,0.234375,1.0
GO:0015889,1.0,1.0
GO:0015914,1.0,1.0
GO:0015920,1.0,1.0
GO:0015942,1.0,1.0
GO:0015944,1.0,1.0
GO:0015949,1.0,1.0
GO:0015976,1.0,1.0
GO:0016020,3.299743333738295e-09,2.831179780347457e-06
GO:0016032,1.0,1.0
GO:0016042,1.0,1.0
GO:0016052,1.0,1.0
GO:0016094,0.234375,1.0
GO:0016149,0.234375,1.0
GO:0016150,0.234375,1.0
GO:0016151,1.0,1.0
GO:0016208,1.0,1.0
GO:0016259,1.0,1.0
GO:0016301,0.6677347265770894,1.0
GO:0016407,0.234375,1.0
GO:0016413,0.234375,1.0
GO:0016434,0.234375,1.0
GO:0016491,0.21078637224257657,1.0
GO:0016509,1.0,1.0
GO:0016616,0.003040489762061598,1.0
GO:0016620,0.036962190268590774,1.0
GO:0016639,0.234375,1.0
GO:0016671,1.0,1.0
GO:0016722,1.0,1.0
GO:0016726,0.41452205882352944,1.0
GO:0016740,0.23467495542146394,1.0
GO:0016746,0.552823934691987,1.0
GO:0016774,0.05422794117647059,1.0
GO:0016779,1.0,1.0
GO:0016787,0.703299100554559,1.0
GO:0016791,0.05422794117647059,1.0
GO:0016803,0.41452205882352944,1.0
