Feature,P-Value,Bonferroni Corrected P-Value
2-Hacid_dh,0.05422794117647059,1.0
2-Hacid_dh_C,0.05422794117647059,1.0
3HCDH,1.0,1.0
3HCDH_N,1.0,1.0
AAA,1.0,1.0
AAA_15,1.0,1.0
AAA_16,1.0,1.0
AAA_21,0.00010420065426799278,0.02657116683833816
AAA_22,1.0,1.0
AAA_23,1.0,1.0
AAA_29,0.5938971362486047,1.0
AAA_30,1.0,1.0
AAA_33,1.0,1.0
AA_permease,0.20479946588036768,1.0
AA_permease_2,0.20479946588036768,1.0
ABC2_membrane,1.0,1.0
ABC2_membrane_2,1.0,1.0
ABC2_membrane_3,1.0,1.0
ABC_ATPase,0.20479946588036768,1.0
ABC_membrane,0.5938971362486047,1.0
ABC_tran,5.0380927255725606e-08,1.2847136450210029e-05
ABC_tran_CTD,1.0,1.0
ABC_tran_Xtn,1.0,1.0
ACAS_N,1.0,1.0
ACT,0.234375,1.0
AMP-binding,1.0,1.0
AMP-binding_C,1.0,1.0
ATP-cone,1.0,1.0
ATP-grasp,0.234375,1.0
ATP-grasp_4,0.234375,1.0
Acetate_kinase,0.05422794117647059,1.0
Aconitase,1.0,1.0
Aconitase_2_N,1.0,1.0
Aconitase_B_N,1.0,1.0
Acyl_transf_3,0.234375,1.0
Ada_Zn_binding,1.0,1.0
AlaDh_PNT_C,1.0,1.0
Aldedh,0.007910194534090441,1.0
Aminotran_1_2,1.0,1.0
Aminotran_3,0.20479946588036768,1.0
Anticodon_2,1.0,1.0
AraC_binding_2,0.234375,1.0
Arf,1.0,1.0
AsnC_trans_reg,0.234375,1.0
Asparaginase,1.0,1.0
Asparaginase_C,1.0,1.0
Autoind_bind,0.234375,1.0
BCA_ABC_TP_C,1.0,1.0
BON,1.0,1.0
Bac_DNA_binding,0.575801360972636,1.0
CBS,1.0,1.0
CPSase_L_D2,0.234375,1.0
CPSase_sm_chain,1.0,1.0
CSD,0.3408513677596876,1.0
Catalase,1.0,1.0
Catalase-rel,1.0,1.0
Catalase_C,1.0,1.0
Crp,1.0,1.0
