Feature,P-Value,Bonferroni Corrected P-Value
GO:0000006,1.0,1.0
GO:0000014,1.0,1.0
GO:0000015,1.0,1.0
GO:0000018,1.0,1.0
GO:0000023,1.0,1.0
GO:0000025,1.0,1.0
GO:0000027,1.0,1.0
GO:0000028,0.3571428571428571,1.0
GO:0000030,1.0,1.0
GO:0000034,1.0,1.0
GO:0000035,1.0,1.0
GO:0000036,1.0,1.0
GO:0000049,0.5505798969072165,1.0
GO:0000050,1.0,1.0
GO:0000053,1.0,1.0
GO:0000062,1.0,1.0
GO:0000096,1.0,1.0
GO:0000099,1.0,1.0
GO:0000100,1.0,1.0
GO:0000101,1.0,1.0
GO:0000102,1.0,1.0
GO:0000103,1.0,1.0
GO:0000104,1.0,1.0
GO:0000105,1.0,1.0
GO:0000107,1.0,1.0
GO:0000150,1.0,1.0
GO:0000154,1.0,1.0
GO:0000155,1.0,1.0
GO:0000156,1.0,1.0
GO:0000160,1.0,1.0
GO:0000162,1.0,1.0
GO:0000166,1.0,1.0
GO:0000175,1.0,1.0
GO:0000179,1.0,1.0
GO:0000210,1.0,1.0
GO:0000215,1.0,1.0
GO:0000217,1.0,1.0
GO:0000256,1.0,1.0
GO:0000270,1.0,1.0
GO:0000271,0.3571428571428571,1.0
GO:0000272,1.0,1.0
GO:0000287,1.0,1.0
GO:0000293,1.0,1.0
GO:0000302,1.0,1.0
GO:0000303,1.0,1.0
GO:0000309,1.0,1.0
GO:0000310,1.0,1.0
GO:0000345,1.0,1.0
GO:0000372,1.0,1.0
GO:0000400,1.0,1.0
GO:0000405,1.0,1.0
GO:0000408,1.0,1.0
GO:0000428,1.0,1.0
GO:0000451,1.0,1.0
GO:0000455,1.0,1.0
GO:0000470,1.0,1.0
GO:0000481,1.0,1.0
GO:0000700,1.0,1.0
GO:0000701,1.0,1.0
GO:0000703,1.0,1.0
GO:0000715,1.0,1.0
GO:0000716,1.0,1.0
GO:0000717,1.0,1.0
GO:0000719,1.0,1.0
GO:0000724,1.0,1.0
GO:0000725,1.0,1.0
GO:0000731,1.0,1.0
GO:0000774,1.0,1.0
GO:0000786,1.0,1.0
GO:0000796,1.0,1.0
GO:0000810,1.0,1.0
GO:0000820,1.0,1.0
GO:0000900,1.0,1.0
GO:0000902,1.0,1.0
GO:0000906,1.0,1.0
GO:0000908,1.0,1.0
GO:0000910,1.0,1.0
GO:0000917,1.0,1.0
GO:0000918,1.0,1.0
GO:0000920,1.0,1.0
GO:0000921,1.0,1.0
GO:0000935,1.0,1.0
GO:0000967,1.0,1.0
GO:0000976,1.0,1.0
GO:0000987,0.3571428571428571,1.0
GO:0001000,0.3571428571428571,1.0
GO:0001046,1.0,1.0
GO:0001070,1.0,1.0
GO:0001072,1.0,1.0
GO:0001073,0.3571428571428571,1.0
GO:0001108,1.0,1.0
GO:0001216,1.0,1.0
GO:0001217,1.0,1.0
GO:0001406,1.0,1.0
GO:0001407,1.0,1.0
GO:0001510,0.3571428571428571,1.0
GO:0001514,1.0,1.0
GO:0001522,1.0,1.0
GO:0001530,1.0,1.0
GO:0001558,1.0,1.0
GO:0001561,1.0,1.0
GO:0001618,1.0,1.0
GO:0001671,1.0,1.0
GO:0001676,1.0,1.0
GO:0001680,1.0,1.0
GO:0001681,1.0,1.0
GO:0001682,1.0,1.0
GO:0001717,1.0,1.0
GO:0001727,1.0,1.0
GO:0001731,1.0,1.0
GO:0001761,1.0,1.0
GO:0001762,1.0,1.0
GO:0001883,1.0,1.0
GO:0001884,1.0,1.0
GO:0001887,1.0,1.0
GO:0001896,1.0,1.0
GO:0001907,1.0,1.0
GO:0001932,1.0,1.0
GO:0002020,1.0,1.0
GO:0002047,1.0,1.0
GO:0002057,1.0,1.0
GO:0002083,1.0,1.0
GO:0002097,1.0,1.0
GO:0002098,1.0,1.0
GO:0002099,1.0,1.0
GO:0002100,1.0,1.0
GO:0002101,1.0,1.0
GO:0002128,1.0,1.0
GO:0002131,1.0,1.0
GO:0002132,1.0,1.0
GO:0002136,1.0,1.0
GO:0002143,1.0,1.0
GO:0002144,1.0,1.0
GO:0002145,1.0,1.0
GO:0002161,1.0,1.0
GO:0002181,1.0,1.0
GO:0002184,1.0,1.0
GO:0002188,1.0,1.0
GO:0002189,1.0,1.0
GO:0002196,1.0,1.0
GO:0002197,1.0,1.0
GO:0002926,1.0,1.0
GO:0002935,1.0,1.0
GO:0002937,1.0,1.0
GO:0002938,1.0,1.0
GO:0002939,1.0,1.0
GO:0002943,1.0,1.0
GO:0002949,1.0,1.0
GO:0002952,1.0,1.0
GO:0002953,1.0,1.0
GO:0003333,1.0,1.0
GO:0003674,1.0,1.0
GO:0003676,1.0,1.0
GO:0003677,0.617542462357908,1.0
GO:0003678,1.0,1.0
GO:0003680,0.536082474226804,1.0
GO:0003681,0.536082474226804,1.0
GO:0003684,1.0,1.0
GO:0003688,1.0,1.0
GO:0003690,1.0,1.0
GO:0003697,1.0,1.0
GO:0003700,0.12951660382685493,1.0
GO:0003723,0.6520726786806893,1.0
GO:0003724,1.0,1.0
GO:0003725,1.0,1.0
GO:0003727,1.0,1.0
GO:0003729,0.536082474226804,1.0
GO:0003730,1.0,1.0
GO:0003735,1.0,1.0
GO:0003743,1.0,1.0
GO:0003746,1.0,1.0
GO:0003747,1.0,1.0
GO:0003755,0.3571428571428571,1.0
GO:0003756,1.0,1.0
GO:0003774,1.0,1.0
