Feature,P-Value,Bonferroni Corrected P-Value
PF00005.30,0.536082474226804,1.0
PF00009.30,1.0,1.0
PF00015.24,1.0,1.0
PF00027.32,1.0,1.0
PF00070.30,1.0,1.0
PF00083.27,1.0,1.0
PF00120.27,1.0,1.0
PF00149.31,0.3571428571428571,1.0
PF00171.25,1.0,1.0
PF00199.22,1.0,1.0
PF00202.24,1.0,1.0
PF00208.24,0.3571428571428571,1.0
PF00210.27,1.0,1.0
PF00216.24,0.536082474226804,1.0
PF00254.31,0.3571428571428571,1.0
PF00282.22,1.0,1.0
PF00313.25,1.0,1.0
PF00324.24,1.0,1.0
PF00325.23,1.0,1.0
PF00348.20,0.3571428571428571,1.0
PF00384.25,0.536082474226804,1.0
PF00389.33,0.3571428571428571,1.0
PF00501.31,1.0,1.0
PF00507.22,1.0,1.0
PF00572.21,1.0,1.0
PF00582.29,0.3571428571428571,1.0
PF00701.25,1.0,1.0
PF00710.23,1.0,1.0
PF00749.24,1.0,1.0
PF00816.24,1.0,1.0
PF00871.20,0.3571428571428571,1.0
PF00892.23,0.1251840942562592,1.0
PF00984.22,0.3571428571428571,1.0
PF00988.25,1.0,1.0
PF01012.24,1.0,1.0
PF01035.23,1.0,1.0
PF01037.24,0.3571428571428571,1.0
PF01047.25,1.0,1.0
PF01077.25,1.0,1.0
PF01131.23,1.0,1.0
PF01180.24,1.0,1.0
PF01189.20,0.3571428571428571,1.0
PF01207.20,1.0,1.0
PF01242.22,0.3571428571428571,1.0
PF01266.27,1.0,1.0
PF01272.22,0.3571428571428571,1.0
PF01346.21,0.3571428571428571,1.0
PF01432.23,0.3571428571428571,1.0
PF01547.28,1.0,1.0
PF01556.21,1.0,1.0
PF01614.21,0.3571428571428571,1.0
PF01625.24,1.0,1.0
PF01751.25,1.0,1.0
PF01757.25,0.3571428571428571,1.0
PF01782.21,0.3571428571428571,1.0
PF01791.12,1.0,1.0
PF01926.26,1.0,1.0
PF02133.18,0.3571428571428571,1.0
PF02335.18,1.0,1.0
PF02357.22,0.3571428571428571,1.0
PF02378.21,0.536082474226804,1.0
PF02547.18,1.0,1.0
PF02867.18,1.0,1.0
PF02870.18,1.0,1.0
PF02901.18,1.0,1.0
PF03449.18,0.3571428571428571,1.0
PF03466.23,0.1251840942562592,1.0
PF03472.18,0.3571428571428571,1.0
PF03721.17,0.3571428571428571,1.0
PF03989.16,1.0,1.0
PF04014.21,1.0,1.0
PF04166.15,1.0,1.0
PF04355.16,1.0,1.0
PF04962.15,0.3571428571428571,1.0
PF04972.20,1.0,1.0
PF05239.19,0.3571428571428571,1.0
PF05681.17,1.0,1.0
PF05683.15,1.0,1.0
PF05958.14,1.0,1.0
PF05971.15,0.3571428571428571,1.0
PF06434.16,1.0,1.0
PF07478.16,0.3571428571428571,1.0
PF07690.19,1.0,1.0
PF07729.15,1.0,1.0
PF07992.17,0.536082474226804,1.0
PF08125.16,0.3571428571428571,1.0
PF08136.14,1.0,1.0
PF08279.15,0.3571428571428571,1.0
PF08816.14,0.3571428571428571,1.0
PF09330.14,0.3571428571428571,1.0
PF12802.10,1.0,1.0
PF13404.9,0.3571428571428571,1.0
PF13407.9,1.0,1.0
PF13412.9,0.3571428571428571,1.0
PF13416.9,1.0,1.0
PF13520.9,1.0,1.0
PF13545.9,1.0,1.0
PF14525.9,0.3571428571428571,1.0
PF14720.9,1.0,1.0
PF17125.8,0.3571428571428571,1.0
PF17763.4,1.0,1.0
PF18053.4,1.0,1.0
PF18291.4,0.536082474226804,1.0
PF19269.2,1.0,1.0
